user_supplied_name,submitted_name,data_source_title,score,matched_name2
Bucklandiella pacifica,Bucklandiella pacifica,Tropicos - Missouri Botanical Garden,0.988,Bucklandiella pacifica
Bucklandiella sudetica,Bucklandiella sudetica,Encyclopedia of Life,0.988,Bucklandiella sudetica
Bucklandiella sudetica,Bucklandiella sudetica,Tropicos - Missouri Botanical Garden,0.988,Bucklandiella sudetica
Codriophorus,Codriophorus,Encyclopedia of Life,0.75,Codriophorus
Codriophorus,Codriophorus,Tropicos - Missouri Botanical Garden,0.75,Codriophorus
Codriophorus depressus,Codriophorus depressus,Encyclopedia of Life,0.988,Codriophorus depressus
Codriophorus depressus,Codriophorus depressus,Tropicos - Missouri Botanical Garden,0.988,Codriophorus depressus
Codriophorus norrissii,Codriophorus norrissii,Encyclopedia of Life,0.75,Codriophorus norrisii
Codriophorus norrissii,Codriophorus norrissii,Tropicos - Missouri Botanical Garden,0.75,Codriophorus norrisii
Coscinodon,Coscinodon,Catalogue of Life Checklist,0.75,Coscinodon
Coscinodon,Coscinodon,Encyclopedia of Life,0.75,Coscinodon
Coscinodon,Coscinodon,Tropicos - Missouri Botanical Garden,0.75,Coscinodon
Coscinodon calyptratus,Coscinodon calyptratus,Encyclopedia of Life,0.988,Coscinodon calyptratus
Coscinodon calyptratus,Coscinodon calyptratus,Catalogue of Life Checklist,0.988,Coscinodon calyptratus
Coscinodon calyptratus,Coscinodon calyptratus,Tropicos - Missouri Botanical Garden,0.988,Coscinodon calyptratus
Coscinodon sp. nov.,Coscinodon sp. nov.,Catalogue of Life Checklist,0.75,Coscinodon
Coscinodon sp. nov.,Coscinodon sp. nov.,Encyclopedia of Life,0.75,Coscinodon
Coscinodon sp. nov.,Coscinodon sp. nov.,Tropicos - Missouri Botanical Garden,0.75,Coscinodon
Grimmia,Grimmia,Catalogue of Life Checklist,0.75,Grimmia
Grimmia,Grimmia,Encyclopedia of Life,0.75,Grimmia
Grimmia,Grimmia,Tropicos - Missouri Botanical Garden,0.75,Grimmia
Grimmia alpestris,Grimmia alpestris,Encyclopedia of Life,0.988,Grimmia alpestris
Grimmia alpestris,Grimmia alpestris,Catalogue of Life Checklist,0.988,Grimmia alpestris
Grimmia alpestris,Grimmia alpestris,Tropicos - Missouri Botanical Garden,0.988,Grimmia alpestris
Grimmia anodon,Grimmia anodon,Encyclopedia of Life,0.988,Grimmia anodon
Grimmia anodon,Grimmia anodon,Catalogue of Life Checklist,0.988,Grimmia anodon
Grimmia anodon,Grimmia anodon,Tropicos - Missouri Botanical Garden,0.988,Grimmia anodon
Grimmia anomola,Grimmia anomola,Catalogue of Life Checklist,0.75,Grimmia anomala
Grimmia anomola,Grimmia anomola,Encyclopedia of Life,0.75,Grimmia anomala
Grimmia anomola,Grimmia anomola,Tropicos - Missouri Botanical Garden,0.75,Grimmia anomala
Grimmia arizonae,Grimmia arizonae,Encyclopedia of Life,0.988,Grimmia arizonae
Grimmia arizonae,Grimmia arizonae,Tropicos - Missouri Botanical Garden,0.988,Grimmia arizonae
Grimmia caespiticia,Grimmia caespiticia,Encyclopedia of Life,0.988,Grimmia caespiticia
Grimmia caespiticia,Grimmia caespiticia,Catalogue of Life Checklist,0.988,Grimmia caespiticia
Grimmia caespiticia,Grimmia caespiticia,Tropicos - Missouri Botanical Garden,0.988,Grimmia caespiticia
Grimmia hamulosa,Grimmia hamulosa,Encyclopedia of Life,0.988,Grimmia hamulosa
Grimmia hamulosa,Grimmia hamulosa,Catalogue of Life Checklist,0.988,Grimmia hamulosa
Grimmia hamulosa,Grimmia hamulosa,Tropicos - Missouri Botanical Garden,0.988,Grimmia hamulosa
Grimmia incurva,Grimmia incurva,Encyclopedia of Life,0.988,Grimmia incurva
Grimmia incurva,Grimmia incurva,Catalogue of Life Checklist,0.988,Grimmia incurva
