user_supplied_name,submitted_name,data_source_title,score,matched_name2
Anyphaenidae,Anyphaenidae,Catalogue of Life Checklist,0.75,Anyphaenidae
Anyphaenidae,Anyphaenidae,Encyclopedia of Life,0.75,Anyphaenidae
Aphididae,Aphididae,Encyclopedia of Life,0.75,Aphididae
Aphididae,Aphididae,Catalogue of Life Checklist,0.75,Aphididae
Aphrophoridae,Aphrophoridae,Catalogue of Life Checklist,0.75,Aphrophoridae
Aphrophoridae,Aphrophoridae,Encyclopedia of Life,0.75,Aphrophoridae
Araneidae,Araneidae,Catalogue of Life Checklist,0.75,Araneidae
Araneidae,Araneidae,Encyclopedia of Life,0.75,Araneidae
Armadillidae,Armadillidae,Encyclopedia of Life,0.75,Armadillidae
Armadillidae,Armadillidae,Catalogue of Life Checklist,0.75,Armadillidae
Armadillidiidae,Armadillidiidae,Encyclopedia of Life,0.75,Armadillidiidae
Armadillidiidae,Armadillidiidae,Catalogue of Life Checklist,0.75,Armadillidiidae
Atemnidae,Atemnidae,Encyclopedia of Life,0.75,Atemnidae
Atemnidae,Atemnidae,Catalogue of Life Checklist,0.75,Atemnidae
Anthicidae,Anthicidae,Catalogue of Life Checklist,0.75,Anthicidae
Anthicidae,Anthicidae,Encyclopedia of Life,0.75,Anthicidae
Berothidae,Berothidae,Catalogue of Life Checklist,0.75,Berothidae
Berothidae,Berothidae,Encyclopedia of Life,0.75,Berothidae
Attelabidae,Attelabidae,Encyclopedia of Life,0.75,Attelabidae
Attelabidae,Attelabidae,Catalogue of Life Checklist,0.75,Attelabidae
Bostrichidae,Bostrichidae,Encyclopedia of Life,0.75,Bostrichidae
Bostrichidae,Bostrichidae,Catalogue of Life Checklist,0.75,Bostrichidae
Bothrideridae,Bothrideridae,Catalogue of Life Checklist,0.75,Bothrideridae
Bothrideridae,Bothrideridae,Encyclopedia of Life,0.75,Bothrideridae
Buthidae,Buthidae,Encyclopedia of Life,0.75,Buthidae
Buthidae,Buthidae,Catalogue of Life Checklist,0.75,Buthidae
Buprestidae,Buprestidae,Catalogue of Life Checklist,0.75,Buprestidae
Buprestidae,Buprestidae,Encyclopedia of Life,0.75,Buprestidae
Caponiidae,Caponiidae,Catalogue of Life Checklist,0.75,Caponiidae
Caponiidae,Caponiidae,Encyclopedia of Life,0.75,Caponiidae
