"","user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"835","Orthotrichum lyellii","Orthotrichum lyellii","Encyclopedia of Life",0.988,"Orthotrichum lyellii"
"836","Orthotrichum lyellii","Orthotrichum lyellii","Catalogue of Life Checklist",0.988,"Orthotrichum lyellii"
"837","Orthotrichum lyellii","Orthotrichum lyellii","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum lyellii"
"838","Orthotrichum macounii","Orthotrichum macounii","Encyclopedia of Life",0.988,"Orthotrichum macounii"
"839","Orthotrichum macounii","Orthotrichum macounii","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum macounii"
"840","Orthotrichum norissii","Orthotrichum norissii","Encyclopedia of Life",0.75,"Orthotrichum norrisii"
"841","Orthotrichum norissii","Orthotrichum norissii","Tropicos - Missouri Botanical Garden",0.75,"Orthotrichum norrisii"
"842","Orthotrichum pallens","Orthotrichum pallens","Encyclopedia of Life",0.988,"Orthotrichum pallens"
"843","Orthotrichum pallens","Orthotrichum pallens","Catalogue of Life Checklist",0.988,"Orthotrichum pallens"
"844","Orthotrichum pallens","Orthotrichum pallens","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum pallens"
"845","Orthotrichum papillosum","Orthotrichum papillosum","Encyclopedia of Life",0.988,"Orthotrichum papillosum"
"846","Orthotrichum papillosum","Orthotrichum papillosum","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum papillosum"
"847","Orthotrichum pellucidum","Orthotrichum pellucidum","Encyclopedia of Life",0.988,"Orthotrichum pellucidum"
"848","Orthotrichum pellucidum","Orthotrichum pellucidum","Catalogue of Life Checklist",0.988,"Orthotrichum pellucidum"
"849","Orthotrichum pellucidum","Orthotrichum pellucidum","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum pellucidum"
"850","Orthotrichum praemorsum","Orthotrichum praemorsum","Encyclopedia of Life",0.988,"Orthotrichum praemorsum"
"851","Orthotrichum praemorsum","Orthotrichum praemorsum","Catalogue of Life Checklist",0.988,"Orthotrichum praemorsum"
"852","Orthotrichum praemorsum","Orthotrichum praemorsum","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum praemorsum"
