Subfamily,Genus,Species,Subspecies,Author_Date,Arizona,California,BajaCalifornia,Colorado,NewMexico,Nevada,Sonora,Utah,GenSp,GenSpSp,TaxonomicLevelCode
Myrmicinae,Myrmica,latifrons,NA,"Stärcke, 1927",1,0,0,1,1,0,0,1,Myrmica latifrons,NA,60
Myrmicinae,Myrmica,lobifrons,NA,"Pergande, 1900",1,0,0,1,1,1,0,0,Myrmica lobifrons,NA,60
Myrmicinae,Myrmica,mexicana,NA,"Wheeler, 1914",1,0,0,0,0,0,0,0,Myrmica mexicana,NA,60
Myrmicinae,Myrmica,rugiventris,NA,"(Smith, 1943)",1,1,0,1,1,0,0,1,Myrmica rugiventris,NA,60
Myrmicinae,Myrmica,striolagaster,NA,"Cole, 1953",1,0,0,1,1,0,0,1,Myrmica striolagaster,NA,60
Myrmicinae,Myrmica,tahoensis,NA,"Weber, 1948",1,1,0,1,0,1,0,0,Myrmica tahoensis,NA,60
Myrmicinae,Myrmica,wheeleri,NA,"Weber, 1939",1,0,0,0,0,0,0,0,Myrmica wheeleri,NA,60
Myrmicinae,Novomessor,albisetosus,NA,"(Mayr, 1886)",1,0,0,0,0,0,1,0,Novomessor albisetosus,NA,60
Myrmicinae,Novomessor,cockerelli,NA,"(André, 1893)",1,1,0,0,1,0,1,0,Novomessor cockerelli,NA,60
Myrmicinae,Pheidole,az01,NA,null,1,0,0,0,0,0,0,0,Pheidole az01,NA,60
Myrmicinae,Pheidole,az02,NA,null,1,0,0,0,0,0,0,0,Pheidole az02,NA,60
Myrmicinae,Pheidole,az03,NA,null,1,0,0,0,0,0,0,0,Pheidole az03,NA,60
Myrmicinae,Pheidole,az04,NA,null,1,0,0,0,0,0,0,0,Pheidole az04,NA,60
Myrmicinae,Pheidole,az05,NA,null,1,0,0,0,0,0,0,0,Pheidole az05,NA,60
Myrmicinae,Pheidole,az06,NA,null,1,0,0,0,0,0,0,0,Pheidole az06,NA,60
Myrmicinae,Pheidole,az07,NA,null,1,0,0,0,0,0,0,0,Pheidole az07,NA,60
Myrmicinae,Pheidole,az08,NA,null,1,0,0,0,0,0,0,0,Pheidole az08,NA,60
Myrmicinae,Pheidole,az09,NA,null,1,0,0,0,0,0,0,0,Pheidole az09,NA,60
Myrmicinae,Pheidole,az10,NA,null,1,0,0,0,0,0,0,0,Pheidole az10,NA,60
Myrmicinae,Pheidole,az11,NA,null,1,0,0,0,0,0,0,0,Pheidole az11,NA,60
Myrmicinae,Pheidole,az12,NA,null,1,0,0,0,0,0,0,0,Pheidole az12,NA,60
Myrmicinae,Pheidole,az13,NA,null,1,0,0,0,0,0,0,0,Pheidole az13,NA,60
Myrmicinae,Pheidole,az15,NA,null,1,0,0,0,0,0,0,0,Pheidole az15,NA,60
Myrmicinae,Pheidole,batrachorum,NA,"Wheeler, 1922",1,0,0,0,0,0,0,0,Pheidole batrachorum,NA,60
Myrmicinae,Pheidole,bicarinata,NA,"Mayr, 1870",1,1,0,1,1,1,0,1,Pheidole bicarinata,NA,60
Myrmicinae,Pheidole,cavigenis,NA,"Wheeler, 1915",1,0,0,1,0,0,0,0,Pheidole cavigenis,NA,60
Myrmicinae,Pheidole,cerebrosior,NA,"Wheeler, 1915",1,1,0,0,1,0,0,0,Pheidole cerebrosior,NA,60
Myrmicinae,Pheidole,ceres,NA,"Wheeler, 1904",1,0,0,1,1,0,0,1,Pheidole ceres,NA,60
Myrmicinae,Pheidole,clydei,NA,"Gregg, 1950",1,1,1,0,1,1,0,1,Pheidole clydei,NA,60
Myrmicinae,Pheidole,cockerelli,NA,"Wheeler, 1908",1,0,0,1,1,0,0,0,Pheidole cockerelli,NA,60
Myrmicinae,Pheidole,crassicornis,NA,"Emery, 1895",1,0,0,0,0,0,0,0,Pheidole crassicornis,NA,60
